country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,pop
Montenegro,324,,9,,315,0,,516,14,10167,16188,"628,058"
Sao Tome and Principe,299,48,11,3,4,284,,1367,50,175,800,"218,720"
Nicaragua,279,,17,,199,63,,42,3,,,"6,616,331"
Liberia,265,,26,,141,98,,53,5,,,"5,044,519"
Eswatini,250,,2,,156,92,,216,2,4994,4309,"1,158,921"
Mauritania,237,,6,,15,216,,51,1,2583,557,"4,635,933"
Yemen,233,11,44,2,10,179,,8,1,120,4,"29,753,775"
Uganda,212,14,,,68,144,,5,,86714,1903,"45,574,375"
Mozambique,209,15,1,1,51,157,,7,0.03,8796,282,"31,156,229"
Myanmar,203,2,6,,123,74,,4,0.1,18644,343,"54,372,762"
Martinique,197,,14,,91,92,,525,37,,,"375,293"
Benin,191,,3,,84,104,,16,0.2,27954,2313,"12,087,557"
Faeroe Islands,187,,,,187,0,,3829,,9178,187904,"48,844"
Guadeloupe,161,,14,,115,32,3,402,35,3573,8930,"400,117"
Gibraltar,154,,,,147,7,,4571,,6524,193636,"33,692"
Brunei,141,,1,,137,3,2,323,2,18411,42126,"437,047"
Mongolia,141,,,,33,108,25,43,,12407,3791,"3,272,661"
Guyana,135,,10,,62,63,2,172,13,1457,1853,"786,170"
Bermuda,133,,9,,81,43,2,2135,144,6362,102119,"62,300"
Cayman Islands,129,,1,,61,67,,1965,15,8426,128363,"65,642"
Cambodia,124,,,,122,2,1,7,,16642,997,"16,694,582"
Trinidad and Tobago,116,,8,,108,0,,83,6,2930,2094,"1,399,036"
Syria,106,20,4,,41,61,,6,0.2,,,"17,453,396"
Malawi,101,18,4,,33,64,1,5,0.2,2411,126,"19,074,564"
Aruba,101,,3,,95,3,3,946,28,2070,19396,"106,721"
Bahamas,100,,11,,46,43,1,255,28,1972,5020,"392,857"
Monaco,98,,4,,90,4,2,2499,102,,,"39,214"
Barbados,92,,7,,70,15,4,320,24,4664,16232,"287,340"
Comoros,87,,1,,21,65,,100,1,,,"867,573"
Liechtenstein,82,,1,,55,26,,2151,26,900,23612,"38,117"
Sint Maarten,77,,15,,59,3,1,1798,350,438,10228,"42,825"
Libya,75,,3,,40,32,,11,0.4,4351,634,"6,861,458"
Angola,69,,4,,18,47,,2,0.1,10000,305,"32,748,622"
French Polynesia,60,,,,60,0,,214,,3873,13795,"280,744"
Zimbabwe,56,,4,,25,27,,4,0.3,37039,2496,"14,840,039"
Macao,45,,,,45,0,,69,,,,"648,403"
Burundi,42,,1,,20,21,,4,0.08,284,24,"11,850,302"
Saint Martin,40,,3,,33,4,1,1036,78,553,14328,"38,595"
Eritrea,39,,,,39,0,,11,,,,"3,541,249"
Botswana,35,,1,,19,15,,15,0.4,17631,7514,"2,346,458"
Bhutan,27,3,,,6,21,,35,,15607,20250,"770,726"
Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,"97,846"
Gambia,25,,1,,13,11,,10,0.4,1476,613,"2,408,973"
Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,727"
Grenada,22,,,,17,5,4,196,,3007,26736,"112,471"
Namibia,21,,,,14,7,,8,,3117,1229,"2,535,948"
Laos,19,,,,14,5,,3,,5795,798,"7,264,396"
Belize,18,,2,,16,0,,45,5,1435,3616,"396,850"
Fiji,18,,,,15,3,,20,,1300,1451,"895,784"
New Caledonia,18,,,,18,0,,63,,5454,19122,"285,215"
Saint Lucia,18,,,,18,0,,98,,898,4893,"183,543"
St. Vincent Grenadines,18,,,,14,4,,162,,209,1884,"110,905"
Curaçao,17,,1,,14,2,,104,6,504,3073,"164,026"
Dominica,16,,,,16,0,,222,,433,6017,"71,968"
Saint Kitts and Nevis,15,,,,15,0,,282,,394,7411,"53,161"
Falkland Islands,13,,,,13,0,,3749,,445,128316,"3,468"
Turks and Caicos,12,,1,,10,1,,310,26,126,3259,"38,662"
Greenland,12,,,,11,1,,211,,1885,33210,"56,760"
Vatican City,12,,,,2,10,,14981,,,,801
Montserrat,11,,1,,10,0,,2204,200,36,7212,"4,992"
Suriname,11,,1,,9,1,,19,2,488,833,"586,092"
Seychelles,11,,,,11,0,,112,,,,"98,285"
MS Zaandam,9,,2,,,7,,,,,,0
Western Sahara,9,,,,6,3,,15,,,,"595,704"
British Virgin Islands,8,,1,,6,1,,265,33,167,5528,"30,211"
Papua New Guinea,8,,,,8,0,,0.9,,2402,269,"8,928,690"
Caribbean Netherlands,6,,,,6,0,,229,,424,16184,"26,198"
St. Barth,6,,,,6,0,,608,,137,13875,"9,874"
Anguilla,3,,,,3,0,,200,,30,2001,"14,989"
Lesotho,2,,,,,2,,0.9,,283,132,"2,140,514"
Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797"
Total:,5542033,47578,347379,945,2321503,2873151,53272,711,44.6,,,
